# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG006', 'Session': 'S2', 'Block': 'B1', 'date': '2022_Mar_10_1630', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94201197706065}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG006,B1,1,1,1,0.0002874993,stimulus,
AG,AG006,B1,1,1,1,0.2123436984,tap,rctrl
AG,AG006,B1,2,1,2,0.7500784993,stimulus,
AG,AG006,B1,2,1,2,0.8683263995,tap,rctrl
AG,AG006,B1,3,1,3,1.5001273993,stimulus,
AG,AG006,B1,3,1,3,1.5243946984,tap,rctrl
AG,AG006,B1,3,1,3,2.2282639984,tap,rctrl
AG,AG006,B1,4,1,4,2.2501200996,stimulus,
AG,AG006,B1,4,1,4,2.9802665990,tap,rctrl
AG,AG006,B1,5,1,5,3.0001231991,stimulus,
AG,AG006,B1,5,1,5,3.6842899993,tap,rctrl
AG,AG006,B1,6,1,6,3.7501422986,stimulus,
AG,AG006,B1,6,1,6,4.4522773996,tap,rctrl
AG,AG006,B1,7,1,7,4.5001589991,stimulus,
AG,AG006,B1,7,1,7,5.2362869997,tap,rctrl
AG,AG006,B1,8,1,8,5.2501694001,stimulus,
AG,AG006,B1,8,1,8,5.9562406987,tap,rctrl
AG,AG006,B1,9,1,9,6.0001783986,stimulus,
AG,AG006,B1,9,1,9,6.6762531996,tap,rctrl
AG,AG006,B1,10,1,10,6.7501925994,stimulus,
AG,AG006,B1,10,1,10,7.3803297989,tap,rctrl
AG,AG006,B1,11,1,11,7.5002047997,stimulus,
AG,AG006,B1,11,1,11,8.1482420992,tap,rctrl
AG,AG006,B1,12,1,12,8.2502205987,stimulus,
AG,AG006,B1,12,1,12,8.9323343989,tap,rctrl
AG,AG006,B1,13,1,13,9.0002286993,stimulus,
AG,AG006,B1,13,1,13,9.7162716985,tap,lctrl
AG,AG006,B1,14,1,14,9.7502370998,stimulus,
AG,AG006,B1,14,1,14,10.4043827001,tap,lctrl
AG,AG006,B1,15,1,15,10.5002580993,stimulus,
AG,AG006,B1,15,1,15,11.1404148992,tap,lctrl
AG,AG006,B1,16,1,16,11.2502727993,stimulus,
AG,AG006,B1,16,1,16,11.8763581999,tap,lctrl
AG,AG006,B1,17,1,17,12.0002919994,stimulus,
AG,AG006,B1,17,1,17,12.6122543998,tap,lctrl
AG,AG006,B1,18,1,18,12.7503036987,stimulus,
AG,AG006,B1,18,1,18,13.3483093996,tap,lctrl
AG,AG006,B1,19,1,19,13.5003197994,stimulus,
AG,AG006,B1,19,1,19,14.0844598990,tap,lctrl
AG,AG006,B1,20,1,20,14.2503613997,stimulus,
AG,AG006,B1,20,1,20,14.8203763999,tap,lctrl
AG,AG006,B1,21,1,21,15.0003810991,stimulus,
AG,AG006,B1,21,1,21,15.6842939984,tap,lctrl
AG,AG006,B1,22,1,22,15.7503737994,stimulus,
AG,AG006,B1,22,1,22,16.3883097991,tap,rctrl
AG,AG006,B1,23,1,23,16.5003798995,stimulus,
AG,AG006,B1,23,1,23,17.1243257988,tap,lctrl
AG,AG006,B1,24,1,24,17.2503991984,stimulus,
AG,AG006,B1,24,1,24,17.8282995000,tap,rctrl
AG,AG006,B1,25,1,25,18.0004121996,stimulus,
AG,AG006,B1,25,1,25,18.5962492991,tap,lctrl
AG,AG006,B1,26,1,26,18.7504235990,stimulus,
AG,AG006,B1,26,1,26,19.3482353985,tap,rctrl
AG,AG006,B1,27,1,27,19.5004350990,stimulus,
AG,AG006,B1,27,1,27,20.1162403990,tap,lctrl
AG,AG006,B1,28,1,28,20.2504441999,stimulus,
AG,AG006,B1,28,1,28,20.8843395989,tap,rctrl
AG,AG006,B1,29,1,29,21.0004623998,stimulus,
AG,AG006,B1,29,1,29,21.5882477984,tap,lctrl
AG,AG006,B1,30,1,30,21.7504718993,stimulus,
AG,AG006,B1,30,1,30,22.3723339997,tap,rctrl
AG,AG006,B1,31,1,31,22.5004888996,stimulus,
AG,AG006,B1,31,1,31,23.1563237999,tap,rctrl
AG,AG006,B1,32,1,32,23.2504962999,stimulus,
AG,AG006,B1,32,1,32,23.8443070985,tap,rctrl
