# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG017', 'Session': 'S1', 'Block': 'B1', 'date': '2022_Aug_17_1359', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.94150936945819}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG017,B1,1,1,1,0.0000968995,stimulus,
AG,AG017,B1,1,1,1,0.3842543000,tap,rctrl
AG,AG017,B1,2,1,2,0.7500874000,stimulus,
AG,AG017,B1,2,1,2,0.8482614998,tap,rctrl
AG,AG017,B1,2,1,2,1.3921857998,tap,rctrl
AG,AG017,B1,3,1,3,1.5000885995,stimulus,
AG,AG017,B1,3,1,3,2.1602869993,tap,lctrl
AG,AG017,B1,4,1,4,2.2501095999,stimulus,
AG,AG017,B1,4,1,4,2.9442665000,tap,lctrl
AG,AG017,B1,5,1,5,3.0001034997,stimulus,
AG,AG017,B1,5,1,5,3.6481599994,tap,rctrl
AG,AG017,B1,6,1,6,3.7501166994,stimulus,
AG,AG017,B1,6,1,6,4.4641672997,tap,lctrl
AG,AG017,B1,7,1,7,4.5001269998,stimulus,
AG,AG017,B1,7,1,7,5.1841607001,tap,rctrl
AG,AG017,B1,8,1,8,5.2501344001,stimulus,
AG,AG017,B1,8,1,8,5.9361715997,tap,lctrl
AG,AG017,B1,9,1,9,6.0001542000,stimulus,
AG,AG017,B1,9,1,9,6.6881660996,tap,lctrl
AG,AG017,B1,10,1,10,6.7501646997,stimulus,
AG,AG017,B1,10,1,10,7.4721892998,tap,rctrl
AG,AG017,B1,11,1,11,7.5001870999,stimulus,
AG,AG017,B1,11,1,11,8.2402475998,tap,lctrl
AG,AG017,B1,12,1,12,8.2501903996,stimulus,
AG,AG017,B1,12,1,12,8.9442465995,tap,rctrl
AG,AG017,B1,13,1,13,9.0001988998,stimulus,
AG,AG017,B1,13,1,13,9.7281804001,tap,rctrl
AG,AG017,B1,14,1,14,9.7502100002,stimulus,
AG,AG017,B1,14,1,14,10.4801286999,tap,lctrl
AG,AG017,B1,15,1,15,10.5002239002,stimulus,
AG,AG017,B1,15,1,15,11.2001620997,tap,lctrl
AG,AG017,B1,16,1,16,11.2502464000,stimulus,
AG,AG017,B1,16,1,16,11.8881794997,tap,rctrl
AG,AG017,B1,17,1,17,12.0002528997,stimulus,
AG,AG017,B1,17,1,17,12.7041892996,tap,rctrl
AG,AG017,B1,18,1,18,12.7502720002,stimulus,
AG,AG017,B1,18,1,18,13.4721224001,tap,lctrl
AG,AG017,B1,19,1,19,13.5002723997,stimulus,
AG,AG017,B1,19,1,19,14.2081212001,tap,lctrl
AG,AG017,B1,20,1,20,14.2502892995,stimulus,
AG,AG017,B1,20,1,20,14.8961752001,tap,rctrl
AG,AG017,B1,21,1,21,15.0003127996,stimulus,
AG,AG017,B1,21,1,21,15.6961391000,tap,lctrl
AG,AG017,B1,22,1,22,15.7503228001,stimulus,
AG,AG017,B1,22,1,22,16.3522087000,tap,rctrl
AG,AG017,B1,23,1,23,16.5003355993,stimulus,
AG,AG017,B1,23,1,23,17.1842861995,tap,lctrl
AG,AG017,B1,24,1,24,17.2503583999,stimulus,
AG,AG017,B1,24,1,24,17.9361870997,tap,rctrl
AG,AG017,B1,25,1,25,18.0003551999,stimulus,
AG,AG017,B1,25,1,25,18.6881833998,tap,lctrl
AG,AG017,B1,26,1,26,18.7503733002,stimulus,
AG,AG017,B1,26,1,26,19.4401212996,tap,rctrl
AG,AG017,B1,27,1,27,19.5003763000,stimulus,
AG,AG017,B1,27,1,27,20.1921384996,tap,lctrl
AG,AG017,B1,28,1,28,20.2503904002,stimulus,
AG,AG017,B1,28,1,28,20.9441780001,tap,rctrl
AG,AG017,B1,29,1,29,21.0004148996,stimulus,
AG,AG017,B1,29,1,29,21.7282700995,tap,lctrl
AG,AG017,B1,30,1,30,21.7504345998,stimulus,
AG,AG017,B1,30,1,30,22.4961278001,tap,rctrl
AG,AG017,B1,31,1,31,22.5004426995,stimulus,
AG,AG017,B1,31,1,31,23.1681736000,tap,lctrl
AG,AG017,B1,32,1,32,23.2504463997,stimulus,
AG,AG017,B1,33,1,33,24.0004594000,stimulus,
AG,AG017,B1,33,1,33,24.0482497998,tap,rctrl
AG,AG017,B1,33,1,33,24.7201662995,tap,lctrl
AG,AG017,B1,34,1,34,24.7504912997,stimulus,
AG,AG017,B1,34,1,34,25.4241971001,tap,rctrl
AG,AG017,B1,35,1,35,25.5004898999,stimulus,
AG,AG017,B1,35,1,35,26.2081971001,tap,lctrl
AG,AG017,B1,36,1,36,26.2504981002,stimulus,
AG,AG017,B1,36,1,36,26.9122431995,tap,rctrl
AG,AG017,B1,37,1,37,27.0005076993,stimulus,
AG,AG017,B1,37,1,37,27.7282205001,tap,lctrl
AG,AG017,B1,38,1,38,27.7505350998,stimulus,
AG,AG017,B1,38,1,38,28.4321853993,tap,rctrl
AG,AG017,B1,39,1,39,28.5005339999,stimulus,
AG,AG017,B1,39,1,39,29.2161393994,tap,lctrl
AG,AG017,B1,40,1,40,29.2505435999,stimulus,
AG,AG017,B1,40,1,40,29.9361365000,tap,rctrl
AG,AG017,B1,41,1,41,30.0005615000,stimulus,
AG,AG017,B1,41,1,41,30.7362222001,tap,lctrl
AG,AG017,B1,42,1,42,30.7505978998,stimulus,
AG,AG017,B1,42,1,42,31.4562360002,tap,rctrl
AG,AG017,B1,43,1,43,31.5005935999,stimulus,
