# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG023', 'Session': 'S1', 'Block': 'B0', 'date': '2022_Sep_16_1437', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95297306028168}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG023,B0,1,1,1,0.0000724001,stimulus,
AG,AG023,B0,2,1,2,0.7500711000,stimulus,
AG,AG023,B0,2,1,2,0.8963233000,tap,rctrl
AG,AG023,B0,3,1,3,1.5001046006,stimulus,
AG,AG023,B0,3,1,3,1.5042406004,tap,rctrl
AG,AG023,B0,4,1,4,2.2501108004,stimulus,
AG,AG023,B0,4,1,4,2.2561927000,tap,rctrl
AG,AG023,B0,4,1,4,2.9602139005,tap,rctrl
AG,AG023,B0,5,1,5,3.0001137005,stimulus,
AG,AG023,B0,5,1,5,3.6961192004,tap,lctrl
AG,AG023,B0,6,1,6,3.7501205001,stimulus,
AG,AG023,B0,6,1,6,4.4322632998,tap,lctrl
AG,AG023,B0,7,1,7,4.5001351004,stimulus,
AG,AG023,B0,7,1,7,5.1681211004,tap,lctrl
AG,AG023,B0,8,1,8,5.2501530005,stimulus,
AG,AG023,B0,8,1,8,5.9362455998,tap,lctrl
AG,AG023,B0,9,1,9,6.0001710001,stimulus,
AG,AG023,B0,9,1,9,6.7041696003,tap,lctrl
AG,AG023,B0,10,1,10,6.7501822002,stimulus,
AG,AG023,B0,10,1,10,7.3922862001,tap,lctrl
AG,AG023,B0,11,1,11,7.5002204999,stimulus,
AG,AG023,B0,11,1,11,8.1442414997,tap,lctrl
AG,AG023,B0,12,1,12,8.2502188999,stimulus,
AG,AG023,B0,12,1,12,8.8961610999,tap,rctrl
AG,AG023,B0,13,1,13,9.0002329005,stimulus,
AG,AG023,B0,13,1,13,9.6802301006,tap,rctrl
AG,AG023,B0,14,1,14,9.7502512001,stimulus,
AG,AG023,B0,14,1,14,10.3681538999,tap,rctrl
AG,AG023,B0,15,1,15,10.5002607005,stimulus,
AG,AG023,B0,15,1,15,11.1041795006,tap,rctrl
AG,AG023,B0,16,1,16,11.2502754005,stimulus,
AG,AG023,B0,16,1,16,11.8722101003,tap,rctrl
AG,AG023,B0,17,1,17,12.0002823006,stimulus,
AG,AG023,B0,17,1,17,12.5282083005,tap,rctrl
AG,AG023,B0,18,1,18,12.7503134003,stimulus,
AG,AG023,B0,18,1,18,13.3122279998,tap,rctrl
AG,AG023,B0,19,1,19,13.5003134003,stimulus,
AG,AG023,B0,19,1,19,14.0161763001,tap,rctrl
AG,AG023,B0,20,1,20,14.2503300002,stimulus,
AG,AG023,B0,20,1,20,14.8641603999,tap,lctrl
AG,AG023,B0,21,1,21,15.0003510006,stimulus,
AG,AG023,B0,21,1,21,15.6802018005,tap,lctrl
AG,AG023,B0,22,1,22,15.7503613001,stimulus,
AG,AG023,B0,23,1,23,16.5003807005,stimulus,
AG,AG023,B0,23,1,23,16.5441561006,tap,lctrl
AG,AG023,B0,23,1,23,17.1841890002,tap,lctrl
AG,AG023,B0,24,1,24,17.2503974000,stimulus,
AG,AG023,B0,24,1,24,17.9521471001,tap,lctrl
AG,AG023,B0,25,1,25,18.0004220000,stimulus,
AG,AG023,B0,25,1,25,18.7201263998,tap,lctrl
AG,AG023,B0,26,1,26,18.7504211999,stimulus,
AG,AG023,B0,26,1,26,19.4401516002,tap,lctrl
AG,AG023,B0,27,1,27,19.5004297998,stimulus,
AG,AG023,B0,27,1,27,20.1922195004,tap,lctrl
AG,AG023,B0,28,1,28,20.2504652999,stimulus,
AG,AG023,B0,28,1,28,20.9601963004,tap,lctrl
AG,AG023,B0,29,1,29,21.0004660003,stimulus,
AG,AG023,B0,29,1,29,21.6482159002,tap,lctrl
AG,AG023,B0,30,1,30,21.7504734006,stimulus,
AG,AG023,B0,30,1,30,22.4002355002,tap,lctrl
AG,AG023,B0,31,1,31,22.5004941002,stimulus,
AG,AG023,B0,31,1,31,23.1361979004,tap,lctrl
AG,AG023,B0,32,1,32,23.2504943004,stimulus,
AG,AG023,B0,33,1,33,24.0005032998,stimulus,
AG,AG023,B0,33,1,33,24.0162046999,tap,lctrl
AG,AG023,B0,33,1,33,24.6561845997,tap,lctrl
AG,AG023,B0,34,1,34,24.7505192999,stimulus,
AG,AG023,B0,35,1,35,25.5005315999,stimulus,
AG,AG023,B0,35,1,35,25.5041169999,tap,lctrl
AG,AG023,B0,35,1,35,26.1921266997,tap,lctrl
AG,AG023,B0,36,1,36,26.2505740998,stimulus,
AG,AG023,B0,37,1,37,27.0005839001,stimulus,
AG,AG023,B0,37,1,37,27.0081441998,tap,rctrl
AG,AG023,B0,37,1,37,27.6961881006,tap,rctrl
AG,AG023,B0,38,1,38,27.7505854005,stimulus,
AG,AG023,B0,38,1,38,28.4961227998,tap,rctrl
AG,AG023,B0,39,1,39,28.5005855998,stimulus,
AG,AG023,B0,39,1,39,29.2322387006,tap,rctrl
AG,AG023,B0,40,1,40,29.2505985005,stimulus,
AG,AG023,B0,40,1,40,29.9361287002,tap,lctrl
AG,AG023,B0,41,1,41,30.0006125001,stimulus,
AG,AG023,B0,41,1,41,30.7361245006,tap,lctrl
AG,AG023,B0,42,1,42,30.7506221002,stimulus,
AG,AG023,B0,43,1,43,31.5006403998,stimulus,
AG,AG023,B0,43,1,43,31.5201844005,tap,lctrl
AG,AG023,B0,43,1,43,32.1921501001,tap,lctrl
AG,AG023,B0,44,1,44,32.2506638998,stimulus,
AG,AG023,B0,44,1,44,32.9121861001,tap,rctrl
AG,AG023,B0,45,1,45,33.0006769001,stimulus,
AG,AG023,B0,45,1,45,33.6641429998,tap,rctrl
AG,AG023,B0,46,1,46,33.7506839000,stimulus,
AG,AG023,B0,46,1,46,34.3841850003,tap,rctrl
AG,AG023,B0,47,1,47,34.5006988002,stimulus,
AG,AG023,B0,47,1,47,35.0881476998,tap,rctrl
AG,AG023,B0,48,1,48,35.2507151999,stimulus,
AG,AG023,B0,48,1,48,35.9361795997,tap,lctrl
AG,AG023,B0,49,1,49,36.0007285997,stimulus,
AG,AG023,B0,49,1,49,36.6721638003,tap,lctrl
AG,AG023,B0,50,1,50,36.7507420005,stimulus,
AG,AG023,B0,50,1,50,37.4561579004,tap,lctrl
AG,AG023,B0,51,1,51,37.5007608002,stimulus,
AG,AG023,B0,52,1,52,38.2507763999,stimulus,
AG,AG023,B0,52,1,52,38.2561295005,tap,lctrl
AG,AG023,B0,52,1,52,38.9601944005,tap,lctrl
AG,AG023,B0,53,1,53,39.0007867003,stimulus,
AG,AG023,B0,53,1,53,39.6801080005,tap,lctrl
AG,AG023,B0,54,1,54,39.7507957006,stimulus,
AG,AG023,B0,54,1,54,40.4321729997,tap,rctrl
AG,AG023,B0,55,1,55,40.5008063000,stimulus,
AG,AG023,B0,55,1,55,41.2002065005,tap,rctrl
AG,AG023,B0,56,1,56,41.2508259006,stimulus,
AG,AG023,B0,56,1,56,41.9361054003,tap,rctrl
AG,AG023,B0,57,1,57,42.0008390006,stimulus,
AG,AG023,B0,57,1,57,42.6082768003,tap,rctrl
AG,AG023,B0,58,1,58,42.7508648997,stimulus,
AG,AG023,B0,58,1,58,43.3922079997,tap,rctrl
AG,AG023,B0,59,1,59,43.5008645998,stimulus,
AG,AG023,B0,59,1,59,44.1281379005,tap,rctrl
AG,AG023,B0,60,1,60,44.2508765999,stimulus,
AG,AG023,B0,60,1,60,44.8482718999,tap,rctrl
AG,AG023,B0,61,1,60,51.4080544002,probe1,3
AG,AG023,B0,61,1,60,58.1291367998,probe2,2
AG,AG023,B0,61,1,60,65.5697680004,probe3,2
AG,AG023,B0,62,2,1,66.3377921004,stimulus,
AG,AG023,B0,62,2,1,66.5603585998,tap,rctrl
AG,AG023,B0,62,2,1,67.0721561005,tap,rctrl
AG,AG023,B0,63,2,2,67.0877518998,stimulus,
AG,AG023,B0,63,2,2,67.7761826999,tap,rctrl
AG,AG023,B0,64,2,3,67.8377630003,stimulus,
AG,AG023,B0,64,2,3,68.5121475002,tap,rctrl
AG,AG023,B0,65,2,4,68.5877784006,stimulus,
AG,AG023,B0,65,2,4,69.2961841002,tap,rctrl
AG,AG023,B0,66,2,5,69.3377826000,stimulus,
AG,AG023,B0,66,2,5,69.9841147000,tap,rctrl
AG,AG023,B0,67,2,6,70.0878004003,stimulus,
AG,AG023,B0,67,2,6,70.7041719006,tap,rctrl
AG,AG023,B0,68,2,7,70.8378132004,stimulus,
AG,AG023,B0,68,2,7,71.4561419999,tap,rctrl
AG,AG023,B0,69,2,8,71.5878315000,stimulus,
AG,AG023,B0,69,2,8,72.2561370004,tap,lctrl
AG,AG023,B0,70,2,9,72.3378386004,stimulus,
AG,AG023,B0,70,2,9,73.0401892997,tap,lctrl
AG,AG023,B0,71,2,10,73.0878643999,stimulus,
AG,AG023,B0,71,2,10,73.7921515005,tap,lctrl
AG,AG023,B0,72,2,11,73.8378614001,stimulus,
AG,AG023,B0,72,2,11,74.5121424003,tap,lctrl
AG,AG023,B0,73,2,12,74.5878748000,stimulus,
AG,AG023,B0,73,2,12,75.2801326001,tap,lctrl
AG,AG023,B0,74,2,13,75.3378900001,stimulus,
