# {'Language': 'Norwegian', 'Region': 'AG', 'Participant': 'AG034', 'Session': 'S2', 'Block': 'B2', 'date': '2022_Nov_03_1357', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.946647440418474}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG034,B2,1,1,1,0.0001463001,stimulus,
AG,AG034,B2,1,1,1,0.0064404001,tap,lctrl
AG,AG034,B2,1,1,1,0.5503602000,tap,lctrl
AG,AG034,B2,2,1,2,0.7501253001,stimulus,
AG,AG034,B2,2,1,2,1.3983407002,tap,lctrl
AG,AG034,B2,3,1,3,1.5001216000,stimulus,
AG,AG034,B2,3,1,3,2.1342766001,tap,lctrl
AG,AG034,B2,4,1,4,2.2501488002,stimulus,
AG,AG034,B2,4,1,4,2.9022654998,tap,lctrl
AG,AG034,B2,5,1,5,3.0001645000,stimulus,
AG,AG034,B2,5,1,5,3.5423601000,tap,rctrl
AG,AG034,B2,6,1,6,3.7501698001,stimulus,
AG,AG034,B2,6,1,6,4.3262564000,tap,lctrl
AG,AG034,B2,7,1,7,4.5001961002,stimulus,
AG,AG034,B2,7,1,7,5.1263420000,tap,lctrl
AG,AG034,B2,8,1,8,5.2502040998,stimulus,
AG,AG034,B2,8,1,8,5.8782992000,tap,rctrl
AG,AG034,B2,9,1,9,6.0002219002,stimulus,
AG,AG034,B2,9,1,9,6.6142795999,tap,lctrl
AG,AG034,B2,10,1,10,6.7502414999,stimulus,
AG,AG034,B2,11,1,11,7.5002442002,stimulus,
AG,AG034,B2,11,1,11,7.5263407002,tap,rctrl
AG,AG034,B2,11,1,11,8.1342561999,tap,rctrl
AG,AG034,B2,12,1,12,8.2502624001,stimulus,
AG,AG034,B2,12,1,12,8.8543122001,tap,lctrl
AG,AG034,B2,13,1,13,9.0002775001,stimulus,
AG,AG034,B2,13,1,13,9.5902865999,tap,lctrl
AG,AG034,B2,14,1,14,9.7502927002,stimulus,
AG,AG034,B2,14,1,14,10.3262443999,tap,rctrl
AG,AG034,B2,15,1,15,10.5003100000,stimulus,
AG,AG034,B2,15,1,15,11.0303264000,tap,rctrl
AG,AG034,B2,16,1,16,11.2503260998,stimulus,
AG,AG034,B2,16,1,16,11.8782899003,tap,lctrl
AG,AG034,B2,17,1,17,12.0003447998,stimulus,
AG,AG034,B2,17,1,17,12.5822739000,tap,rctrl
AG,AG034,B2,18,1,18,12.7503471998,stimulus,
AG,AG034,B2,18,1,18,13.3343010000,tap,lctrl
AG,AG034,B2,19,1,19,13.5003698999,stimulus,
AG,AG034,B2,19,1,19,14.1183179999,tap,rctrl
AG,AG034,B2,20,1,20,14.2503881999,stimulus,
AG,AG034,B2,20,1,20,14.8702745000,tap,rctrl
AG,AG034,B2,21,1,21,15.0004032999,stimulus,
AG,AG034,B2,21,1,21,15.5902805999,tap,rctrl
AG,AG034,B2,22,1,22,15.7504151003,stimulus,
AG,AG034,B2,22,1,22,16.3424105002,tap,lctrl
AG,AG034,B2,23,1,23,16.5004286999,stimulus,
AG,AG034,B2,23,1,23,17.1583238998,tap,lctrl
AG,AG034,B2,24,1,24,17.2504540998,stimulus,
AG,AG034,B2,24,1,24,17.9422662002,tap,rctrl
AG,AG034,B2,25,1,25,18.0004664999,stimulus,
